lead,platform,start_msk,menu_open_msk,day1_open_msk,day1_action_msk,day2_api_sent_msk,day2_open_msk,day2_action_msk,day3_api_sent_msk,day3_open_msk,day3_action_msk,day4_api_sent_msk,day4_open_msk,stopped_403_proxy,content_error,run_status
L003,max,06.09 05:48:26,,06.09 08:36:26,,07.09 08:30:36,,,,,,,,true,false,error
L004,max,06.09 07:51:22,,,,,,,,,,,,false,false,
L005,max,06.09 13:19:33,,06.09 13:19:59,06.09 13:28:22,07.09 13:19:35,,,08.09 13:19:35,,,09.09 13:19:36,,false,true,"completed,error"
L006,max,06.09 15:45:00,,,,07.09 15:45:02,,,08.09 15:45:02,,,09.09 15:45:37,,false,true,"completed,error"
L007,max,06.09 16:16:05,06.09 16:16:36,,,,,,,,,,,true,false,error
L008,max,06.09 16:28:24,,,,07.09 16:28:25,,,08.09 16:28:26,,,09.09 16:28:28,,true,false,error
L009,max,06.09 18:45:37,06.09 18:46:25,06.09 18:46:37,06.09 18:52:39,07.09 18:45:37,,,08.09 18:45:39,,,09.09 18:45:39,,false,true,"completed,error"
L010,max,07.09 01:35:05,07.09 01:35:28,,,08.09 01:35:06,,,09.09 01:35:07,,,10.09 01:35:09,,false,true,"completed,error"
L011,max,07.09 05:57:24,07.09 05:58:13,07.09 05:58:52,,08.09 05:57:24,,,09.09 05:57:25,,,10.09 05:57:26,,false,true,"completed,error"
L012,max,07.09 08:17:46,,,,08.09 08:17:46,,,09.09 08:17:48,,,10.09 08:17:50,,false,true,"completed,error"
L013,max,07.09 10:49:39,07.09 10:52:04,07.09 11:36:47,08.09 14:06:19,08.09 10:49:40,08.09 14:08:11,08.09 14:38:20,09.09 10:49:40,,,10.09 10:49:41,,false,true,"completed,error"
L014,max,07.09 11:11:19,07.09 14:35:26,08.09 03:32:39,,08.09 11:11:21,,,09.09 11:11:22,,,10.09 11:11:23,,false,true,"completed,error"
L015,max,07.09 11:22:02,07.09 11:22:27,07.09 11:23:12,,08.09 11:22:04,,,,,,,,true,false,error
L016,max,07.09 11:23:05,07.09 11:23:47,,,,,,,,,,,true,false,error
L017,max,07.09 11:38:17,07.09 11:38:32,07.09 11:40:33,,,,,,,,,,true,false,error
L018,max,07.09 13:36:19,07.09 13:37:00,07.09 13:37:39,,08.09 13:36:19,,,09.09 13:36:20,,,10.09 13:36:21,,false,true,"completed,error"
L019,max,07.09 17:30:08,,,,08.09 17:30:09,,,09.09 17:30:10,,,10.09 17:30:12,,false,true,"completed,error"
L020,max,07.09 19:57:30,07.09 19:58:04,07.09 20:17:17,,,,,,,,,,true,false,error
L021,max,07.09 20:48:51,,,,08.09 20:48:52,,,09.09 20:48:52,,,10.09 20:48:53,,false,true,"completed,error"
L022,max,07.09 21:13:21,,,,08.09 21:13:22,,,09.09 21:13:24,,,10.09 21:13:25,,false,true,"completed,error"
L023,max,08.09 00:39:00,,,,09.09 00:39:01,,,10.09 00:39:03,,,11.09 00:39:04,,false,true,"completed,error"
L024,max,08.09 07:31:11,,,,09.09 07:31:11,,,10.09 07:31:12,,,11.09 07:31:13,,false,true,"completed,error"
L025,max,08.09 08:48:41,,,,09.09 08:48:42,,,10.09 08:48:43,,,11.09 08:48:44,,false,true,"completed,error"
L026,max,08.09 08:56:52,,,,,,,,,,,,true,false,error
L027,max,08.09 10:11:15,,,,,,,,,,,,true,false,error
L028,max,08.09 10:46:01,,,,,,,,,,,,true,false,error
L029,max,08.09 14:14:20,08.09 14:14:50,,,,,,,,,,,true,false,error
L030,max,08.09 14:57:29,08.09 14:57:48,08.09 14:57:54,,,,,,,,,,true,false,error
L031,max,08.09 18:02:16,,,,09.09 18:02:17,,,,,,,,true,false,error
L032,max,08.09 20:17:09,08.09 20:17:25,08.09 20:17:31,,,,,,,,,,true,false,error
L033,max,08.09 22:28:11,08.09 22:28:37,08.09 22:28:43,,,,,,,,,,true,false,error
L034,max,09.09 01:54:13,10.09 02:41:35,,,10.09 01:54:15,,,11.09 01:54:17,,,12.09 01:54:19,,false,false,active
L035,max,09.09 07:32:17,,,,10.09 07:32:19,,,11.09 07:32:19,,,12.09 07:32:21,,false,false,active
L036,max,10.09 04:19:45,10.09 04:19:58,,,,,,,,,,,true,false,error
L037,max,10.09 04:32:55,10.09 06:01:37,,,,,,,,,,,true,false,error
L038,max,10.09 07:12:33,12.09 10:49:08,,,11.09 07:12:33,,,12.09 07:12:34,,,,,false,false,active
L039,max,10.09 08:34:54,10.09 08:35:49,,,,,,,,,,,true,false,error
L040,telegram,10.09 10:07:47,10.09 10:08:19,10.09 10:08:25,,,,,,,,,,true,false,error
L041,max,10.09 13:14:19,10.09 13:14:45,,,,,,,,,,,true,false,error
L042,max,10.09 17:07:15,10.09 17:07:26,,,11.09 17:07:15,,,12.09 17:07:17,,,,,false,false,active
L043,max,10.09 17:38:36,10.09 17:43:59,10.09 17:44:23,10.09 18:41:39,11.09 17:38:37,11.09 17:51:53,,12.09 17:38:38,,,,,false,false,active
L044,max,10.09 18:05:29,10.09 18:05:49,,,11.09 18:05:29,,,12.09 18:05:30,,,,,false,false,active
L045,max,10.09 18:25:23,,,,11.09 18:25:24,,,12.09 18:25:26,,,,,false,false,active
L046,max,10.09 18:52:40,10.09 18:54:43,,,11.09 18:52:40,,,,,,,,false,false,active
L047,max,10.09 20:19:21,,,,11.09 20:19:24,,,,,,,,false,false,active
L048,max,10.09 22:08:22,,,,11.09 22:08:23,,,,,,,,false,false,active
L049,max,11.09 00:08:08,11.09 00:08:17,,,,,,,,,,,true,false,error
L050,max,11.09 01:31:36,11.09 01:31:57,11.09 01:32:04,,,,,,,,,,true,false,error
L051,max,11.09 05:30:01,11.09 05:30:26,11.09 17:32:34,,12.09 05:30:01,,,,,,,,false,false,active
L052,max,11.09 07:56:52,,,,,,,,,,,,true,false,error
L053,max,11.09 14:50:51,11.09 14:51:05,11.09 14:51:18,,12.09 14:50:52,,,,,,,,false,false,active
L054,max,11.09 16:48:22,11.09 17:04:58,,,,,,,,,,,true,false,error
L055,max,11.09 17:05:58,,,,12.09 17:06:00,,,,,,,,false,false,active
L056,max,11.09 17:18:04,11.09 17:18:29,,,,,,,,,,,true,false,error
L057,max,11.09 18:25:53,11.09 18:26:25,11.09 18:26:38,,12.09 18:25:54,,,,,,,,false,false,active
L058,telegram,11.09 20:52:46,,,,,,,,,,,,false,false,active
L059,max,12.09 05:27:27,,,,,,,,,,,,false,false,active
L060,max,12.09 07:21:04,12.09 07:22:03,12.09 07:22:20,,,,,,,,,,false,false,active
L061,max,12.09 09:22:14,,,,,,,,,,,,false,false,active
L062,telegram,12.09 13:04:18,,,,,,,,,,,,false,false,active
L063,max,12.09 14:31:32,12.09 14:31:46,12.09 14:31:54,,,,,,,,,,false,false,active
L064,telegram,12.09 15:17:17,12.09 15:17:56,,,,,,,,,,,false,false,active
